COMUNE AZIENDA;TITOLARE;DENOMINAZIONE AZIENDA;INDIRIZZO AZIENDA;POSTI LETTO;POSTI MACCHINA;POSTI TENDA;POSTI ROULOTTE;RECAPITI
APICE;GENITO FABIO;GENITO;C/DA SAN DONATO,25;6;30;;;genitofabio@pec.it
BENEVENTO;BARRICELLI PASQUALE;LE CAMERELLE;C/DA CAMERELLE;10;;;;p.barricelli@tim.it
BENEVENTO;BOSCIA LEONILDE LUCIA;LA TENUTA DEL MARCHESE;C/DA MOSTI;;40;;;www.latenuta
FOGLIANISE;SIMEONE ANTONIO;ANTICA MASSERIA SIMEONE;via torre verzillo;12;40;;;nd
FOGLIANISE;RAPUANO CONCETTA;CAPOLANA;C/DA CIENZI;6;30;;;rapuanoconcetta@libero.it
PIETRAROJA;BELLO NICOLA AGOSTINO;BELLO NICOLA AGOSTINO;C/DA MONTEPIANO, 1;9;36;;;nd
PIETRAROJA;PARCIASEPE VINCENZA;LE CASELLE;C/DA CASE TORRILLO, 42;4;40;;;nd
PONTE;PECA ALBA;LA BADESSA;LOC. MONTE;4;50;;;agri.badessa@libero.it
PONTE;SILVESTRI  GIUSEPPINA;LA VOLTA;VIA COLLI;8;40;;;nd
PONTE;CORBO ANGELO ANTONIO;PIETREIONNE;LOC. PIANA;10;45;;;info@lpietreionne.eu
PONTELANDOLFO;DE BERNARDO MARIA LIBERA;LA RUZZOLA;C.DA GROTTE;6;30;;;nd
PUGLIANELLO;CIERVO ANGELA;LA MIMOSA;VIA MARAFI, 13;7;20;;;nd
REINO;VIGNOGNA MARIA TERESA;VIGNOGNA MARIA TERESA;C/DA TOPPO SAN PIETRO;5;;;;az.agricolavignognaterry@cia.legalmail.it
S.ARCANGELO TRIMONTE;PANARESE MICHELA;CASHBOX;C/DA MANDRILI;;28;;;nd
SAN LEUCIO DEL SANNIO;SEVERINI ELENA ANTONIETTA;VILLA ELENA;LOC. VARICCHIO;4;40;;;nd
SAN LEUCIO DEL SANNIO;PORCARO ANNAMARIA;IL CASALE DEI COLLINARI;VIA ALVANELLE;6;40;;;nd
S. GIORGIO DEL SANNIO;CARBONE  ANTONIO;IL RISTORO DEL VIANDANTE;VIA S.GIOVANNI,29;6;50;15;;nd
S. GIORGIO LA MOLARA;MANIERO ANGELINA;LE LAURE;C.DA LAURE, 2;12;40;;;nd
SAN LORENZO MAGGIORE;IANNOTTI LIVIA;LA VECCHIA TRAINELLA;C/DA SAN MARZANO;11;40;;;lavecchiatrainella@libero.it
SAN LORENZELLO;MASTRACCHIO CATERINA;BORGO SAN LORENZELLO;VIA RUA,8;;10;;;nd
VITULANO;IORIO MARIA GRAZIA;VERDE RURALE;C/DA SANTO STEFANO;;50;;;nd
