COMUNE AZIENDA;TITOLARE;DENOMINAZIONE AZIENDA;INDIRIZZO AZIENDA;POSTI LETTO;POSTI MACCHINA;POSTI TENDA;POSTI ROULOTTE;RECAPITI
APICE;GENITO FABIO;GENITO;C/DA SAN DONATO,25;6;30;;;genitofabio@pec.it
APICE;GENCA MARISA;LA ROCCA DI SAN GIOVANNI;C.DA SAN MARTINO;;144;;;marisa.genca@postecert.it
APOLLOSA;LUISI NORMA;O TIVOLO;VIA MONTE MAURO, 11;;25;;;nd
BARTOLOMEO IN GALDO;LATELLA NICOLA;POGGIO MARANO;CONTRADA POGGIO MARANO  SS369 Km  7+300;8;25;;;nd
BARTOLOMEO IN GALDO;DELLE DONNE MARIA CARMELA;DELLE DONNE MARIA CARMELA;LOC. CATOLA;10;20;;;nd
BARTOLOMEO IN GALDO;COLATRUGLIO GIANCARLO;S. ANGELO;C.DA S. ANGELO;;;;;nd
BARTOLOMEO IN GALDO;SANTAGATA DONATO;SANTAGATA DONATO;C.DA MAITINI;;24;;;nd
BASELICE;CANONICO MICHELE;IL CONTADINO;C/DA DEFENZA;6;24;;;nd
BENEVENTO;BARRICELLI PASQUALE;LE CAMERELLE;C/DA CAMERELLE;10;;;;p.barricelli@tim.it
BENEVENTO;BOSCIA LEONILDE LUCIA;LA TENUTA DEL MARCHESE;C/DA MOSTI;;40;;;www.latenutadelmarchese.it
BENEVENTO;BOZZUTO M.ASSUNTA;A' MURATA;C/DA LE MURATE;8;50;;;www.agriturismoamurata.it
BENEVENTO;CALICCHIO LETIZIA;IL BOSCHETTO;VIA A. CIFALDI,15;;40;;;www.ilboschettoagriturismo.it
BENEVENTO;D'ALOIA GIUSEPPE;LA MORGIA;C/DA CAMERELLE;6;40;;;info@agriturismolamorgia.it
BENEVENTO;DE PAOLA POMPILIO;MASSERIA DE PAOLA;C/DA PIANO CAPPELLE;10;50;;;nd
BENEVENTO;DE PAOLA VINCENZO;U' CASINO;C/DA PIANO CAPPELLE;12;40;;;info@agriturismoucasino.it
BENEVENTO;FIORETTI PASQUALINA;CANCELLERIA;C/DA CANCELLERIA;6;40;;;info@agriturismocancelleria.it
BENEVENTO;IANNELLI NUNZIA;COLLINA DI ROSETO;C/DA ROSETO,19;11;40;;;collinadiroseto@tin.it
BENEVENTO;IMPERIALE CARMELINA;FATTORIA IMPERIALE;C/DA SAN MARCO;6;40;;;vcapobianco@alice.it
BENEVENTO;PASTORE POMPEO;MASSERIA PASTORE;C/DA SERRETELLE;;40;;;nd
BENEVENTO;ROMANO FIORELLA;IL FIORILE;C/DA MONTEGUARDIA;8;32;;;www.agriturismoilfiorile.it
BENEVENTO;SAGINARO ADRIANO;LA MINAROLA;C/DA CIOFANI;7;30;;;info@laminarola.com
BENEVENTO;SAGLIOCCA LUCIA;IL CARRO;C/DA CAMERELLE;;40;;;info@agriturismoilcarro.com
BENEVENTO;TOZZI CARMINA;ALTA COLLINA;C/DA LAMIA;15;30;;;info@agriturismoaltacollina.it
BENEVENTO;ZULLO TULLIO;LA CINTA DI ZULLO TULLIO;C/DA SAN VITALE;9;10;;;lacintaonlus@virgilio.it
BENEVENTO;ZARRILLO ANTONIA;ZARRILLO ANTONIA;C.DA LA FRANCESCA;14;40;;;antoniazerrillo@libero.it
BENEVENTO;GIULIANO SILVIA;I GELSI;C/DA COLUONNI LOC.PERAZZUOLO;;40;;;sancumano@pec.it
BENEVENTO;LOIA ANNAMARIA;IL TRICLINIO DEL FAUNO;C.DA PINO;7;35;;;info@iltricliniodelfauno.it
BENEVENTO;PETRILLO LILIANA;PETRILLO;C/DA SAN CUMANO;6;;;;liliana.petrillo@pec.it
BENEVENTO;EVANGELISTA GIANCARLO;I CARDONCELLI;C/DA CARDONCELLI;10;;;;alessandro.perlingieri@gmail.it
BENEVENTO;LEONE ANNA;LEONE;C/DA CIOFANI;9;;;;anna.leone@pec.agritel.it
BENEVENTO;DE CICCO VINCENZO;DEVI;C/DA SAN VITALE;6;;;;info@vinidevi.it
BONEA;MARTINO CATERINA;L'OASI DEL TABURNO;VIA NOCELLE, 3;12;40;;;www.l'oasideltaburno.it
BONEA;CESARE  CARMINE;IL POZZO DEI DESIDERI;via fizzo 44;10;40;;;nd
BUCCIANO;ARGANESE GIUSEPPE;ARGANESE GIUSEPPE;VIA CAMPANILE,3;6;40;;;nd
CALVI;MOGASI VALENTINA;AL CASTELLO DEL PRINCIPE;VIA FEDERICOII;7;40;6;;www.alcastellodelprincipe.it
CALVI;PRINCIPE TIZIANA;IL VECCHIO BIVACCO;VIA PIANO CASIELLO,2;;70;;;TIZIANAPRINCIPE@PEC.IT
CALVI;MOLINARO MARIA ALFONSINA;L'ANTICA QUERCIA;VIA FORNILLO;7;25;;;nd
CALVI;CASAZZA ANTONIO;VILLA LUISA;VIA FEDERICOII,28;16;40;;;antonio.casazza@pec.it
CAMPOLATTARO;MOBILIA ELENA;LA CRINIERA;C.DA TOPPI,3;15;40;;;nd
CAMPOLATTARO;IADANZA DORA;IL COVO DEI SARACENI;C.DA IADANZA;7;20;;;www.agriturismoilcovodeisaraceni.it
CASALDUNI;D'ADDONA CARMINE;D'ADDONNA CARMINE;C.DA COLLEMARINO;6;20;;;nd
CASALDUNI;DE BLASIO CAMILLA;DE BLASIO CAMILLA;C.DA MACELLA;6;12;;;nd
CASALDUNI;D'ADDONA GIUSEPPA;D'ADDONNA GIUSEPPA;LOC. S. MARIA;;;;;nd
CASALDUNI;MAZZARELLI RAIMONDO;AGRITURISMO COLANERI;C.DA COLLEMARINO;10;40;;;nd
CASTELVENERE;VENDITTI NICOLA;ANTICA MASSERIA VENDITTI;VIA SANNITICA 122;;40;;;nd
CASTELVETERE FORTORE;FORTE SALVATORE;FORTE SALVATORE;CONTRADA MACCHIA 3;6;32;;;nd
CASTELVETERE FORTORE;FORTE PASQUALE;MACCHIA;CONTRADA MACCHIA 4;5;24;;;nd
CASTELVETERE FORTORE;COLELLA GIUSEPPINA;COLELLA GIUSEPPINA;C.DA SELVOTTA,7/A;;32;;;nd
CASTELVETERE FORTORE;PATUTO ANNUNZIATA;AL CHIARO DI LUNA;C.DA CAMPANARO, 23/A;;;;;nd
CASTELVETERE FORTORE;GIANTOMASI ROSETTA;GIANTOMASI ROSETTA;contrada macchia 9;10;18;5;;nd
CAUTANO;VISCUSI ANTONIETTA;LA VALLE DEI CILIEGI;LOC. ROSATO;4;40;;;gennaro.libero.viscusi@hotmail.com
CAUTANO;FERRETTA DOMENICO;MASSERIA MONTENERO;LOC. MAIONE;;40;;;nd
CAUTANO;CAPORASO ELEONORA;AL POGGIO ANTICO;VIA ASCIELLO;12;40;;;nd
CAUTANO;MILONE ROSARIA;AL TAVERNONE;LOC. VIGNALI;;40;;;nd
CIRCELLO;MASTROCOLA GIUSEPPE;LA FATTORIA;CONTRADA MACCHIA E CASALDIANNI;14;40;2;;nd
CIRCELLO;DEL GROSSO VITO;LA PRAINELLA;CONTRADA PRAINELLA;7;40;;;nd
CIRCELLO;ZACCARI GIOCONDO;TAVERNA DEI LIGURI;C.DA MACCHIA;14;40;4;;nd
CIRCELLO;BARONE MARIO;IL CASTELLO;C/DA CESE ALTA;6;32;;;nd
CIRCELLO;VITULANO ALGENIA;IL CONTADINO;CONTRADA CESE BASSA;12;40;;;agriturismoilcontadino@virgilio.it
CIRCELLO;MAIORANO FRANCESCO;FONTANA SANT'ERAMO;C.DA MONTEFREDDO;9;40;;;nd
CIRCELLO;NELSON ANTONIO;L'AMMIRAGLIO;MONTEFREDDO;7;40;;;nd
CIRCELLO;BOZZO ELVIRA;IL FEDERALE;C.DA SPINETO;8;45;;;nd
CIRCELLO;D'ALOIA  MARIA;D'ALOIA MARIA;C.DA MACCHIA;;20;6;;nd
COLLE SANNITA;PIACQUADIO CARMELO;LISONI;LISONI;8;40;;;lisonicarmelo@yahoo.it
COLLE SANNITA;PAOLUCCI LINA;AL QUADRO DI SAN GIORGIO;C/DA MARCANDINDOLI;12;40;;2;delgrossogiorgio@gmail.com
COLLE SANNITA;POZZUTO GIUSEPPA;SORGENTE FONZINA;C.DA PAOLI-FORNA;10;40;1;;lucianapozzuto@live.it
COLLE SANNITA;MARTUCCIO ANTONIO E FILOMENA;MARTUCCIO ANTONIO E FILOMENA;C.DA ROMITI;9;32;;;amartuccio@libero.it
COLLE SANNITA;DEL GROSSO PASQUALINA;CASELLE VECCHIE;C.DA FELECARELLE;10;24;;;nd
COLLE SANNITA;ZEOLLA PASQUALE;ZEOLLA PASQUALE;C.DA ISCA;;;;;giovannizeolla@libero.it
